Date,Open,High,Low,Close,Volume,return_1d,volatility_5,rolling_volume,atr_14,adx_14,adx,trend_slope,vwap_dev_z,spread_z,sma_10,ema_21,rsi_14,macd,macd_signal,macd_hist,target_return,target
2024-06-13 06:00:00+00:00,152.08,152.6,152.12,152.33,24717,0.0016438717,0.006183619,21617.4,2.0022411,30.374659,30.374659,-0.14073327,-1.0729716,-0.93267566,153.636,153.82558,44.27435,-0.2809255,0.31634784,-0.59727335,-0.0064991117,0
2024-06-13 07:00:00+00:00,152.33,152.45,150.82,151.34,81784,-0.0064990483,0.004856518,36029.6,1.9756525,30.704912,30.704912,-0.19209415,-1.2328957,-0.3494087,153.252,153.59961,41.210804,-0.43638483,0.1658013,-0.60218614,0.0050878525,1
2024-06-13 08:00:00+00:00,151.34,152.11,150.79,152.11,14388,0.005087882,0.0047269673,34755.6,1.9288201,31.021759,31.021759,-0.2480304,-1.1302199,-0.5102736,152.962,153.46419,44.43144,-0.49178585,0.03428387,-0.52606976,-0.0012491345,0
2024-06-13 09:00:00+00:00,152.11,152.45,151.64,151.92,42995,-0.001249096,0.004610654,36822.6,1.8489044,31.064346,31.064346,-0.25281382,-0.9165244,-0.77628314,152.598,153.3238,43.793903,-0.54474354,-0.081521615,-0.46322194,-0.005200088,0
2024-06-13 10:00:00+00:00,151.92,151.95,150.11,151.13,59975,-0.0052001053,0.004787976,44771.8,1.8482684,31.651722,31.651722,-0.24434982,-1.1017475,-0.020506734,152.192,153.12437,41.150013,-0.6430466,-0.19382662,-0.44922003,0.004366994,1
2024-06-13 11:00:00+00:00,151.13,152.12,150.09,151.79,54606,0.004367101,0.00532345,50749.6,1.8612492,32.065388,32.065388,-0.2148448,-0.93030393,0.078468405,151.902,153.00307,44.181854,-0.660087,-0.28707868,-0.3730083,-0.015152454,0
2024-06-13 12:00:00+00:00,151.79,151.91,149.16,149.49,72919,-0.015152513,0.008271177,48976.6,1.9247314,32.772892,32.772892,-0.20375463,-1.2300647,0.5923416,151.555,152.6837,37.023598,-0.8493911,-0.39954117,-0.44984993,0.0034115314,1
2024-06-13 13:00:00+00:00,149.49,152.2,149.37,150.0,39783,0.0034115994,0.007916682,54055.6,1.9893935,33.189247,33.189247,-0.18064976,-1.0261892,0.6005202,151.37,152.43973,39.36935,-0.9473429,-0.5091015,-0.43824136,0.0013333559,1
2024-06-13 14:00:00+00:00,150.0,151.92,149.31,150.2,7711,0.0013333333,0.008121853,46998.8,2.0337224,33.59893,33.59893,-0.14767542,-1.0571165,0.40130222,151.239,152.23611,40.308346,-0.9973354,-0.6067483,-0.3905871,-0.006258309,0
2024-06-13 15:00:00+00:00,150.2,150.6,148.7,149.26,36842,-0.0062583224,0.0082310615,42372.2,2.0241709,34.216858,34.216858,-0.14593184,-1.4875388,-0.02189272,150.957,151.96556,37.37831,-1.1001234,-0.7054233,-0.39470008,-0.015007317,0
2024-06-13 16:00:00+00:00,149.26,149.48,146.23,147.02,94518,-0.01500737,0.008757339,50354.6,2.11173,35.58207,35.58207,-0.1681549,-2.096096,1.998248,150.426,151.51596,31.501814,-1.3468077,-0.8337002,-0.51310754,0.0032647848,1
2024-06-13 17:00:00+00:00,147.02,147.95,146.38,147.5,27394,0.0032648619,0.007958016,41249.6,2.073035,36.84977,36.84977,-0.17853305,-1.9095305,-0.16840042,150.042,151.15088,33.899975,-1.4864402,-0.9642482,-0.52219194,0.008474588,1
2024-06-13 18:00:00+00:00,147.5,148.81,147.26,148.75,16410,0.008474576,0.0091544865,36575.0,2.0356755,37.23942,37.23942,-0.17605507,-1.2867532,-0.29352298,149.706,150.93262,39.80985,-1.4791842,-1.0672354,-0.41194877,0.0010083914,1
2024-06-13 19:00:00+00:00,148.75,148.94,148.09,148.9,2029,0.0010084034,0.009129234,35438.6,1.9509844,37.483643,37.483643,-0.16731866,-1.0296772,-1.2719052,149.404,150.74783,40.497356,-1.4446766,-1.1427237,-0.30195302,-0.0070516467,0
2024-06-13 20:00:00+00:00,148.9,148.99,147.81,147.85,6697,-0.0070517124,0.0092344815,29409.6,1.8959141,37.821198,37.821198,-0.16103487,-1.1934289,-0.8088721,149.076,150.48439,37.286728,-1.484938,-1.2111665,-0.2737715,-0.004599333,0
2024-06-13 21:00:00+00:00,147.85,148.41,146.83,147.17,18544,-0.004599256,0.0062075322,14214.8,1.8733487,38.50481,38.50481,-0.15520436,-1.5281194,-0.24548954,148.614,150.18309,35.333065,-1.5538044,-1.2796941,-0.27411032,0.006183386,1
2024-06-13 22:00:00+00:00,147.17,148.08,146.11,148.08,9283,0.0061833253,0.0066843857,10592.6,1.8802524,39.388546,39.388546,-0.1484923,-1.4317824,0.31264478,148.473,149.9919,39.873314,-1.5174599,-1.3272473,-0.19021259,0.0012830496,1
2024-06-13 23:00:00+00:00,148.08,148.43,147.25,148.27,7533,0.0012830902,0.005238295,8817.2,1.8302344,39.84791,39.84791,-0.15032382,-0.95264775,-0.7459049,148.3,149.83536,40.807766,-1.456535,-1.3531048,-0.10343024,-0.0059351325,0
2024-06-14 00:00:00+00:00,148.27,148.2,146.94,147.39,5118,-0.0059351185,0.005601422,9435.0,1.7945033,40.39437,40.39437,-0.15804319,-1.1431295,-0.5796243,148.019,149.61305,37.87199,-1.4624027,-1.3749644,-0.08743831,-0.0017639995,0
