Date,Adj Close,Close,High,Low,Open,Volume,return_1d,volatility_5,rolling_volume,sma_10,ema_21,rsi_14,macd,macd_signal,macd_hist,target_return,target
2018-01-15 00:00:00+00:00,13819.8,13819.8,14445.5,13641.7,13767.3,12750799872,0.0034707962,0.059547577,1.303966e+10,14808.18,14476.29,73.140305,24.861546,252.253,-227.39146,-0.16854802,0
2018-01-16 00:00:00+00:00,11490.5,11490.5,13843.1,10194.9,13836.1,18853799936,-0.16854802,0.08510908,1.35036e+10,14204.53,14204.8545,61.156235,-213.57452,159.08751,-372.66202,-0.026273912,0
2018-01-17 00:00:00+00:00,11188.6,11188.6,11678.0,9402.29,11431.1,18830600192,-0.026273912,0.07600607,1.485658e+10,13675.63,13930.65,59.788853,-422.0327,42.86346,-464.89618,0.025588617,1
2018-01-18 00:00:00+00:00,11474.9,11474.9,12107.3,10942.5,11198.8,15020399616,0.025588617,0.075657874,1.530794e+10,13306.11,13707.4,60.686558,-557.70636,-77.25051,-480.45587,0.0115469415,1
2018-01-19 00:00:00+00:00,11607.4,11607.4,11992.8,11172.1,11429.8,10740400128,0.0115469415,0.07928181,1.52392e+10,13007.31,13516.491,61.119175,-647.078,-191.216,-455.86197,0.11129105,1
2018-01-20 00:00:00+00:00,12899.2,12899.2,13103.0,11656.2,11656.2,11801700352,0.11129105,0.10227665,1.504938e+10,12799.9,13460.374,65.14612,-606.6748,-274.30777,-332.36703,-0.10071172,0
2018-01-21 00:00:00+00:00,11600.1,11600.1,12895.9,11288.2,12889.2,9935179776,-0.10071172,0.07732243,1.3265656e+10,12619.33,13291.258,58.57574,-671.73816,-353.79385,-317.94434,-0.057645988,0
2018-01-22 00:00:00+00:00,10931.4,10931.4,11966.4,10240.2,11633.1,10537400320,-0.057645988,0.08157817,1.1607016e+10,12314.41,13076.726,55.47428,-768.4021,-436.71548,-331.6866,-0.005763214,0
2018-01-23 00:00:00+00:00,10868.4,10868.4,11377.6,10129.7,10944.5,9660609536,-0.005763214,0.08012069,1.0535058e+10,11965.23,12875.969,55.177864,-840.4049,-517.45337,-322.95154,0.04517684,1
2018-01-24 00:00:00+00:00,11359.4,11359.4,11501.4,10639.8,10903.4,9940989952,0.04517684,0.083537504,1.0375176e+10,11723.97,12738.099,57.101757,-848.072,-583.5771,-264.4949,-0.008803282,0
2018-01-25 00:00:00+00:00,11259.4,11259.4,11785.7,11057.4,11421.7,8873169920,-0.008803282,0.055573583,9.78947e+09,11467.93,12603.672,56.56919,-852.39154,-637.34,-215.05156,-0.007815692,0
2018-01-26 00:00:00+00:00,11171.4,11171.4,11656.7,10470.3,11256.0,9746199552,-0.007815692,0.036376096,9.751674e+09,11436.0205,12473.465,56.073574,-853.0819,-680.4884,-172.59352,0.024106182,1
2018-01-27 00:00:00+00:00,11440.7,11440.7,11614.9,10989.2,11174.9,7583269888,0.024106182,0.02425858,9.160847e+09,11461.23,12379.577,57.30631,-822.41846,-708.8744,-113.544044,0.030207908,1
2018-01-28 00:00:00+00:00,11786.3,11786.3,12040.3,11475.3,11475.3,8350360064,0.030207908,0.02397709,8.898798e+09,11492.37,12325.643,58.900364,-761.4529,-719.3901,-42.062775,-0.041565157,0
2018-01-29 00:00:00+00:00,11296.4,11296.4,11875.6,11179.2,11755.5,7107359744,-0.041565157,0.028969275,8.332072e+09,11461.2705,12232.075,55.724205,-744.0906,-724.3302,-19.760395,-0.10535219,0
2018-01-30 00:00:00+00:00,10106.3,10106.3,11307.2,10036.2,11306.8,8637859840,-0.10535219,0.05559826,8.28501e+09,11181.98,12038.823,48.834896,-816.94476,-742.8531,-74.09168,0.0113592325,1
2018-01-31 00:00:00+00:00,10221.1,10221.1,10381.6,9777.42,10108.2,8041160192,0.0113592325,0.05729155,7.944002e+09,11044.08,11873.575,49.48369,-855.5566,-765.3938,-90.162766,-0.10278342,0
