atr_mult,trail_k,ttp_k,min_hold,hyst_k,cap_fraction,total_return,annualised_return,annualised_volatility,calc_sharpe,expectancy_after_costs,max_drawdown,trades_count,avg_slippage_bps,maker_fill_ratio,pass
0.0015,2.0,2.0,8,0.3,0.02,-0.009032973668030686,-9.234469681707047e-05,0.002150307345704269,-0.042944882740390634,2.266341230488259e-05,-0.030183342686341486,482,1.9382951653944012,0.8340248962655602,False
0.0015,2.0,2.0,8,0.3,0.03,-0.013686883992381937,-0.00014024766832476665,0.003225461018556404,-0.043481433357249584,3.399511845732394e-05,-0.044967760928614875,482,1.9382951653944016,0.8340248962655602,False
0.0015,2.0,2.0,8,0.5,0.02,-0.009032973668030686,-9.234469681707047e-05,0.002150307345704269,-0.042944882740390634,2.266341230488259e-05,-0.030183342686341486,482,1.9382951653944012,0.8340248962655602,False
0.0015,2.0,2.0,8,0.5,0.03,-0.013686883992381937,-0.00014024766832476665,0.003225461018556404,-0.043481433357249584,3.399511845732394e-05,-0.044967760928614875,482,1.9382951653944016,0.8340248962655602,False
0.0015,2.0,2.0,8,0.8,0.02,-0.009032973668030686,-9.234469681707047e-05,0.002150307345704269,-0.042944882740390634,2.266341230488259e-05,-0.030183342686341486,482,1.9382951653944012,0.8340248962655602,False
0.0015,2.0,2.0,8,0.8,0.03,-0.013686883992381937,-0.00014024766832476665,0.003225461018556404,-0.043481433357249584,3.399511845732394e-05,-0.044967760928614875,482,1.9382951653944016,0.8340248962655602,False
0.0015,2.0,2.0,24,0.3,0.02,-0.054751588274801755,-0.0005728940360644197,0.002042598575922122,-0.2804731398609681,-0.0001931157127307213,-0.07170713890086133,481,2.8765195137555972,0.7255717255717256,False
0.0015,2.0,2.0,24,0.3,0.03,-0.08113407157178187,-0.0008607816940450208,0.003063897863883184,-0.2809433382854565,-0.0002896735690960819,-0.10572653942745236,481,2.876519513755598,0.7255717255717256,False
0.0015,2.0,2.0,24,0.5,0.02,-0.054751588274801755,-0.0005728940360644197,0.002042598575922122,-0.2804731398609681,-0.0001931157127307213,-0.07170713890086133,481,2.8765195137555972,0.7255717255717256,False
0.0015,2.0,2.0,24,0.5,0.03,-0.08113407157178187,-0.0008607816940450208,0.003063897863883184,-0.2809433382854565,-0.0002896735690960819,-0.10572653942745236,481,2.876519513755598,0.7255717255717256,False
0.0015,2.0,2.0,24,0.8,0.02,-0.054751588274801755,-0.0005728940360644197,0.002042598575922122,-0.2804731398609681,-0.0001931157127307213,-0.07170713890086133,481,2.8765195137555972,0.7255717255717256,False
0.0015,2.0,2.0,24,0.8,0.03,-0.08113407157178187,-0.0008607816940450208,0.003063897863883184,-0.2809433382854565,-0.0002896735690960819,-0.10572653942745236,481,2.876519513755598,0.7255717255717256,False
0.0015,2.0,2.0,48,0.3,0.02,-0.06036687636483706,-0.0006334964020727751,0.0023711644604127854,-0.26716679194934145,-0.00023354023638273534,-0.07190770617834297,453,3.4406314344543576,0.6666666666666666,False
0.0015,2.0,2.0,48,0.3,0.03,-0.08935846394515123,-0.000952201659860541,0.0035567466906191777,-0.26771702982727075,-0.00035031035457410315,-0.10607387546353475,453,3.440631434454357,0.6666666666666666,False
0.0015,2.0,2.0,48,0.5,0.02,-0.06036687636483706,-0.0006334964020727751,0.0023711644604127854,-0.26716679194934145,-0.00023354023638273534,-0.07190770617834297,453,3.4406314344543576,0.6666666666666666,False
0.0015,2.0,2.0,48,0.5,0.03,-0.08935846394515123,-0.000952201659860541,0.0035567466906191777,-0.26771702982727075,-0.00035031035457410315,-0.10607387546353475,453,3.440631434454357,0.6666666666666666,False
0.0015,2.0,2.0,48,0.8,0.02,-0.06036687636483706,-0.0006334964020727751,0.0023711644604127854,-0.26716679194934145,-0.00023354023638273534,-0.07190770617834297,453,3.4406314344543576,0.6666666666666666,False
0.0015,2.0,2.0,48,0.8,0.03,-0.08935846394515123,-0.000952201659860541,0.0035567466906191777,-0.26771702982727075,-0.00035031035457410315,-0.10607387546353475,453,3.440631434454357,0.6666666666666666,False
0.0015,2.0,3.0,8,0.3,0.02,-0.009032973668030686,-9.234469681707047e-05,0.002150307345704269,-0.042944882740390634,2.266341230488259e-05,-0.030183342686341486,482,1.9382951653944012,0.8340248962655602,False
0.0015,2.0,3.0,8,0.3,0.03,-0.013686883992381937,-0.00014024766832476665,0.003225461018556404,-0.043481433357249584,3.399511845732394e-05,-0.044967760928614875,482,1.9382951653944016,0.8340248962655602,False
0.0015,2.0,3.0,8,0.5,0.02,-0.009032973668030686,-9.234469681707047e-05,0.002150307345704269,-0.042944882740390634,2.266341230488259e-05,-0.030183342686341486,482,1.9382951653944012,0.8340248962655602,False
0.0015,2.0,3.0,8,0.5,0.03,-0.013686883992381937,-0.00014024766832476665,0.003225461018556404,-0.043481433357249584,3.399511845732394e-05,-0.044967760928614875,482,1.9382951653944016,0.8340248962655602,False
0.0015,2.0,3.0,8,0.8,0.02,-0.009032973668030686,-9.234469681707047e-05,0.002150307345704269,-0.042944882740390634,2.266341230488259e-05,-0.030183342686341486,482,1.9382951653944012,0.8340248962655602,False
0.0015,2.0,3.0,8,0.8,0.03,-0.013686883992381937,-0.00014024766832476665,0.003225461018556404,-0.043481433357249584,3.399511845732394e-05,-0.044967760928614875,482,1.9382951653944016,0.8340248962655602,False
0.0015,2.0,3.0,24,0.3,0.02,-0.054751588274801755,-0.0005728940360644197,0.002042598575922122,-0.2804731398609681,-0.0001931157127307213,-0.07170713890086133,481,2.8765195137555972,0.7255717255717256,False
0.0015,2.0,3.0,24,0.3,0.03,-0.08113407157178187,-0.0008607816940450208,0.003063897863883184,-0.2809433382854565,-0.0002896735690960819,-0.10572653942745236,481,2.876519513755598,0.7255717255717256,False
0.0015,2.0,3.0,24,0.5,0.02,-0.054751588274801755,-0.0005728940360644197,0.002042598575922122,-0.2804731398609681,-0.0001931157127307213,-0.07170713890086133,481,2.8765195137555972,0.7255717255717256,False
0.0015,2.0,3.0,24,0.5,0.03,-0.08113407157178187,-0.0008607816940450208,0.003063897863883184,-0.2809433382854565,-0.0002896735690960819,-0.10572653942745236,481,2.876519513755598,0.7255717255717256,False
0.0015,2.0,3.0,24,0.8,0.02,-0.054751588274801755,-0.0005728940360644197,0.002042598575922122,-0.2804731398609681,-0.0001931157127307213,-0.07170713890086133,481,2.8765195137555972,0.7255717255717256,False
0.0015,2.0,3.0,24,0.8,0.03,-0.08113407157178187,-0.0008607816940450208,0.003063897863883184,-0.2809433382854565,-0.0002896735690960819,-0.10572653942745236,481,2.876519513755598,0.7255717255717256,False
0.0015,2.0,3.0,48,0.3,0.02,-0.06036687636483706,-0.0006334964020727751,0.0023711644604127854,-0.26716679194934145,-0.00023354023638273534,-0.07190770617834297,453,3.4406314344543576,0.6666666666666666,False
0.0015,2.0,3.0,48,0.3,0.03,-0.08935846394515123,-0.000952201659860541,0.0035567466906191777,-0.26771702982727075,-0.00035031035457410315,-0.10607387546353475,453,3.440631434454357,0.6666666666666666,False
