atr_mult,trail_k,ttp_k,min_hold,hyst_k,cap_fraction,total_return,annualised_return,annualised_volatility,calc_sharpe,expectancy_after_costs,max_drawdown,trades_count,avg_slippage_bps,maker_fill_ratio,pass
0.0015,2.0,2.0,8,0.3,0.02,-0.03958064857842525,-0.0004109283040640843,0.002416240018567917,-0.17006932295891602,-9.236034547968428e-05,-0.05737965571272341,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,2.0,8,0.3,0.03,-0.058981968142346575,-0.0006185166982342061,0.003624360027851875,-0.17065542426280295,-0.00013854051821952638,-0.0849960569627608,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,2.0,8,0.5,0.02,-0.03958064857842525,-0.0004109283040640843,0.002416240018567917,-0.17006932295891602,-9.236034547968428e-05,-0.05737965571272341,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,2.0,8,0.5,0.03,-0.058981968142346575,-0.0006185166982342061,0.003624360027851875,-0.17065542426280295,-0.00013854051821952638,-0.0849960569627608,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,2.0,8,0.8,0.02,-0.03958064857842525,-0.0004109283040640843,0.002416240018567917,-0.17006932295891602,-9.236034547968428e-05,-0.05737965571272341,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,2.0,8,0.8,0.03,-0.058981968142346575,-0.0006185166982342061,0.003624360027851875,-0.17065542426280295,-0.00013854051821952638,-0.0849960569627608,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,2.0,24,0.3,0.02,-0.04465526735384662,-0.00046482157693406023,0.0027084637136860737,-0.17161816663272295,-0.00014201963035756103,-0.060789169143177446,543,2.9904019085922364,0.6869244935543278,False
0.0015,2.0,2.0,24,0.3,0.03,-0.06648184289059866,-0.0006999005929517743,0.004062695570529111,-0.1722749294898859,-0.00021302944553634162,-0.09000274549438814,543,2.990401908592236,0.6869244935543278,False
0.0015,2.0,2.0,24,0.5,0.02,-0.04465526735384662,-0.00046482157693406023,0.0027084637136860737,-0.17161816663272295,-0.00014201963035756103,-0.060789169143177446,543,2.9904019085922364,0.6869244935543278,False
0.0015,2.0,2.0,24,0.5,0.03,-0.06648184289059866,-0.0006999005929517743,0.004062695570529111,-0.1722749294898859,-0.00021302944553634162,-0.09000274549438814,543,2.990401908592236,0.6869244935543278,False
0.0015,2.0,2.0,24,0.8,0.02,-0.04465526735384662,-0.00046482157693406023,0.0027084637136860737,-0.17161816663272295,-0.00014201963035756103,-0.060789169143177446,543,2.9904019085922364,0.6869244935543278,False
0.0015,2.0,2.0,24,0.8,0.03,-0.06648184289059866,-0.0006999005929517743,0.004062695570529111,-0.1722749294898859,-0.00021302944553634162,-0.09000274549438814,543,2.990401908592236,0.6869244935543278,False
0.0015,2.0,2.0,48,0.3,0.02,-0.062245154179873086,-0.0006538475385343689,0.0026783468575624038,-0.24412354833288605,-0.00028811692627120805,-0.07364326468254534,443,3.5731965993905987,0.6207674943566591,False
0.0015,2.0,2.0,48,0.3,0.03,-0.09213946122117123,-0.0009832994096670156,0.004017520286343605,-0.2447528175550119,-0.00043217538940681195,-0.1086300754209164,443,3.5731965993905987,0.6207674943566591,False
0.0015,2.0,2.0,48,0.5,0.02,-0.062245154179873086,-0.0006538475385343689,0.0026783468575624038,-0.24412354833288605,-0.00028811692627120805,-0.07364326468254534,443,3.5731965993905987,0.6207674943566591,False
0.0015,2.0,2.0,48,0.5,0.03,-0.09213946122117123,-0.0009832994096670156,0.004017520286343605,-0.2447528175550119,-0.00043217538940681195,-0.1086300754209164,443,3.5731965993905987,0.6207674943566591,False
0.0015,2.0,2.0,48,0.8,0.02,-0.062245154179873086,-0.0006538475385343689,0.0026783468575624038,-0.24412354833288605,-0.00028811692627120805,-0.07364326468254534,443,3.5731965993905987,0.6207674943566591,False
0.0015,2.0,2.0,48,0.8,0.03,-0.09213946122117123,-0.0009832994096670156,0.004017520286343605,-0.2447528175550119,-0.00043217538940681195,-0.1086300754209164,443,3.5731965993905987,0.6207674943566591,False
0.0015,2.0,3.0,8,0.3,0.02,-0.03958064857842525,-0.0004109283040640843,0.002416240018567917,-0.17006932295891602,-9.236034547968428e-05,-0.05737965571272341,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,3.0,8,0.3,0.03,-0.058981968142346575,-0.0006185166982342061,0.003624360027851875,-0.17065542426280295,-0.00013854051821952638,-0.0849960569627608,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,3.0,8,0.5,0.02,-0.03958064857842525,-0.0004109283040640843,0.002416240018567917,-0.17006932295891602,-9.236034547968428e-05,-0.05737965571272341,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,3.0,8,0.5,0.03,-0.058981968142346575,-0.0006185166982342061,0.003624360027851875,-0.17065542426280295,-0.00013854051821952638,-0.0849960569627608,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,3.0,8,0.8,0.02,-0.03958064857842525,-0.0004109283040640843,0.002416240018567917,-0.17006932295891602,-9.236034547968428e-05,-0.05737965571272341,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,3.0,8,0.8,0.03,-0.058981968142346575,-0.0006185166982342061,0.003624360027851875,-0.17065542426280295,-0.00013854051821952638,-0.0849960569627608,704,2.0305357811914573,0.7954545454545454,False
0.0015,2.0,3.0,24,0.3,0.02,-0.04469463549510788,-0.0004652407796604807,0.0027085305698039738,-0.1717687017629459,-0.0001422060162864443,-0.060827872433622976,542,2.985451413542731,0.6881918819188192,False
