timeframe,ema_len,keltner_mult,entry_confirm_k_atr,signals.post.min_hold_bars,signals.post.hysteresis_k_atr,trailing.trail_k,trailing.ttp_k,risk.cap_fraction,execution.cancel_spread_bps,total_return,annualised_return,annualised_volatility,calc_sharpe,expectancy_after_costs,max_drawdown,trades_count,avg_slippage_bps,maker_fill_ratio,pass
1h,20,1.5,0.6,24,0.3,3.0,2.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False
1h,20,1.5,0.6,24,0.3,3.0,2.0,0.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False
