timeframe,band_lookback,z_entry,tp_k_atr,sl_k_atr,signals.post.min_hold_bars,signals.post.hysteresis_k_atr,trailing.trail_k,trailing.ttp_k,risk.cap_fraction,meta.trend.min_strength,meta.confidence.min,execution.cancel_spread_bps,total_return,annualised_return,annualised_volatility,calc_sharpe,expectancy_after_costs,max_drawdown,trades_count,avg_slippage_bps,maker_fill_ratio,pass
15m,40,1.2,0.6,0.8,8,0.6,off,off,0.01,0.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False
15m,40,1.2,0.6,0.8,8,0.6,off,off,0.01,0.0,0.55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False
15m,40,1.2,0.6,0.8,8,0.6,off,off,0.01,0.0,0.55,3.0,0.0841584152323176,0.0016264302257820162,0.008664251753207602,0.18771733233396568,0.001096170198347384,-0.05046152294972894,186,4.661904947553362,0.5161290322580645,False
15m,40,1.2,0.6,0.8,8,0.6,off,off,0.01,0.0,0.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False
